locus_tag	ftype	length_bp	gene	EC_number	COG	product
BINKAFHJ_00001	CDS	300				hypothetical protein
BINKAFHJ_00002	CDS	411				hypothetical protein
BINKAFHJ_00003	CDS	150				hypothetical protein
BINKAFHJ_00004	CDS	207				hypothetical protein
BINKAFHJ_00005	CDS	150				hypothetical protein
BINKAFHJ_00006	CDS	1329				hypothetical protein
BINKAFHJ_00007	CDS	300				hypothetical protein
BINKAFHJ_00008	CDS	765	ligd_1		COG1793	Bifunctional non-homologous end joining protein LigD
BINKAFHJ_00009	CDS	1005	hemAT		COG0840	Heme-based aerotactic transducer HemAT
BINKAFHJ_00010	CDS	978				hypothetical protein
BINKAFHJ_00011	CDS	309				hypothetical protein
BINKAFHJ_00012	CDS	828				hypothetical protein
BINKAFHJ_00013	CDS	195				hypothetical protein
BINKAFHJ_00014	CDS	801				hypothetical protein
BINKAFHJ_00015	CDS	150				hypothetical protein
BINKAFHJ_00016	CDS	390	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
BINKAFHJ_00017	CDS	435				hypothetical protein
BINKAFHJ_00018	CDS	1314	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
BINKAFHJ_00019	CDS	261				hypothetical protein
BINKAFHJ_00020	CDS	456				hypothetical protein
BINKAFHJ_00021	CDS	483				hypothetical protein
BINKAFHJ_00022	CDS	2421				hypothetical protein
BINKAFHJ_00023	CDS	1329				hypothetical protein
BINKAFHJ_00024	CDS	360				hypothetical protein
BINKAFHJ_00025	CDS	2055	recG	3.6.4.12		ATP-dependent DNA helicase RecG
BINKAFHJ_00026	CDS	858	degV		COG1307	Protein DegV
BINKAFHJ_00027	CDS	1800				putative protein
BINKAFHJ_00028	CDS	363				putative protein
BINKAFHJ_00029	CDS	189	rpmB		COG0227	50S ribosomal protein L28
BINKAFHJ_00030	CDS	252				hypothetical protein
BINKAFHJ_00031	CDS	660	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
BINKAFHJ_00032	CDS	921	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BINKAFHJ_00033	CDS	2190	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
BINKAFHJ_00034	CDS	774	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
